"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","blue-7","blue","17138","0","0","5","6","0,1,3,2","survey-likert","27","350464","0.0-5.0-2.0-0.0","54","xxz6os7d","high"
"3","free","orange-60","orange","17034","3","3","2","6","0,1,3,2","survey-likert","50","411547","0.0-5.0-2.1-0.1","54","xxz6os7d","high"
"4","fixed","red-191","red","11919","4","4","4","4","0,1,3,2","survey-likert","57","453419","0.0-5.0-2.2-0.2","54","xxz6os7d","high"
"5","free","yellow-178","yellow","11055","4","4","5","6","0,1,3,2","survey-likert","77","497304","0.0-5.0-2.3-0.3","54","xxz6os7d","high"
"6","fixed","green-199","green","11235","5","5","5","6","0,1,3,2","survey-likert","89","528981","0.0-5.0-2.4-0.4","54","xxz6os7d","high"
"7","free","purple-22","purple","8566","5","5","6","6","0,1,3,2","survey-likert","113","572533","0.0-5.0-2.5-0.5","54","xxz6os7d","high"
