"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","orange-69","orange","48283","5","5","0","5","0,1,2,3","survey-likert","12","592490","0.0-5.0-2.0-0.0","102","3uto9bq2","low"
"3","free","blue-183","blue","40767","3","5","0","3","0,1,2,3","survey-likert","31","721206","0.0-5.0-2.1-0.1","102","3uto9bq2","low"
"4","fixed","purple-88","purple","23709","5","4","1","3","0,1,2,3","survey-likert","43","805308","0.0-5.0-2.2-0.2","102","3uto9bq2","low"
"5","free","yellow-210","yellow","22958","3","1","2","2","0,1,2,3","survey-likert","64","951520","0.0-5.0-2.3-0.3","102","3uto9bq2","low"
"6","fixed","red-149","red","27526","1","2","4","3","0,1,2,3","survey-likert","86","1037815","0.0-5.0-2.4-0.4","102","3uto9bq2","low"
"7","free","green-119","green","28582","2","1","5","5","0,1,2,3","survey-likert","114","1114199","0.0-5.0-2.5-0.5","102","3uto9bq2","low"
