"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","purple-211","purple","26869","5","6","1","6","2,1,3,0","survey-likert","30","1456318","0.0-5.0-2.0-0.0","118","pwmrcwfp","high"
"3","free","orange-140","orange","15790","5","6","3","5","2,1,3,0","survey-likert","36","1482754","0.0-5.0-2.1-0.1","118","pwmrcwfp","high"
"4","fixed","red-68","red","10750","5","6","2","6","2,1,3,0","survey-likert","48","1512538","0.0-5.0-2.2-0.2","118","pwmrcwfp","high"
"5","free","green-149","green","11020","6","5","3","5","2,1,3,0","survey-likert","52","1529224","0.0-5.0-2.3-0.3","118","pwmrcwfp","high"
"6","fixed","yellow-41","yellow","14263","4","5","3","5","2,1,3,0","survey-likert","74","1573336","0.0-5.0-2.4-0.4","118","pwmrcwfp","high"
"7","free","blue-218","blue","16605","5","4","5","3","2,1,3,0","survey-likert","77","1594686","0.0-5.0-2.5-0.5","118","pwmrcwfp","high"
