"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","safe","50","red-212","blue-220","risky","safe","3622","10","bandit-task","3","43556","0.0-3.0-0.0","95","high"
"2","safe","51","red-46","blue-38","risky","safe","1910","10","bandit-task","4","48476","0.0-3.0-0.1","95","high"
"3","safe","51","red-48","blue-91","risky","safe","1462","10","bandit-task","5","52660","0.0-3.0-0.2","95","high"
"4","safe","48","red-15","blue-213","risky","safe","1207","10","bandit-task","6","56356","0.0-3.0-0.3","95","high"
"5","safe","50","red-131","blue-207","risky","safe","1119","10","bandit-task","7","59940","0.0-3.0-0.4","95","high"
"6","safe","48","red-215","blue-118","risky","safe","871","10","bandit-task","8","63379","0.0-3.0-0.5","95","high"
"7","safe","51","red-108","blue-61","risky","safe","1007","10","bandit-task","9","66940","0.0-3.0-0.6","95","high"
"8","safe","50","red-11","blue-126","risky","safe","1694","10","bandit-task","10","71283","0.0-3.0-0.7","95","high"
"9","safe","50","red-138","blue-71","risky","safe","654","10","bandit-task","11","74603","0.0-3.0-0.8","95","high"
"10","safe","48","red-67","blue-66","risky","safe","870","10","bandit-task","12","78155","0.0-3.0-0.9","95","high"
"11","safe","50","red-84","blue-157","risky","safe","615","10","bandit-task","13","81338","0.0-3.0-0.10","95","high"
"12","safe","50","red-17","blue-174","risky","safe","785","10","bandit-task","14","84749","0.0-3.0-0.11","95","high"
"13","safe","51","red-166","blue-111","risky","safe","1726","10","bandit-task","15","89069","0.0-3.0-0.12","95","high"
"14","safe","49","red-103","blue-199","risky","safe","615","10","bandit-task","16","92173","0.0-3.0-0.13","95","high"
"15","risky","70","red-135","blue-117","risky","safe","1207","10","bandit-task","17","95997","0.0-3.0-0.14","95","high"
"16","risky","51","red-149","blue-39","risky","safe","798","10","bandit-task","18","99236","0.0-3.0-0.15","95","high"
"17","safe","52","red-99","blue-92","risky","safe","671","10","bandit-task","19","102308","0.0-3.0-0.16","95","high"
"18","safe","50","red-153","blue-155","risky","safe","662","10","bandit-task","20","105404","0.0-3.0-0.17","95","high"
"19","risky","50","red-179","blue-154","risky","safe","565","10","bandit-task","21","108724","0.0-3.0-0.18","95","high"
"20","risky","42","red-137","blue-76","risky","safe","639","10","bandit-task","22","112044","0.0-3.0-0.19","95","high"
"21","safe","50","red-188","blue-75","risky","safe","759","10","bandit-task","23","115260","0.0-3.0-0.20","95","high"
"22","risky","28","red-162","blue-201","risky","safe","743","10","bandit-task","24","118667","0.0-3.0-0.21","95","high"
"23","risky","58","red-172","blue-106","risky","safe","654","10","bandit-task","25","121947","0.0-3.0-0.22","95","high"
"24","safe","51","red-218","blue-159","risky","safe","510","10","bandit-task","26","124875","0.0-3.0-0.23","95","high"
"25","safe","50","red-122","blue-94","risky","safe","574","10","bandit-task","27","127891","0.0-3.0-0.24","95","high"
"26","safe","49","red-9","blue-82","risky","safe","686","10","bandit-task","28","131043","0.0-3.0-0.25","95","high"
"27","safe","51","red-42","blue-54","risky","safe","583","10","bandit-task","29","134635","0.0-3.0-0.26","95","high"
"28","safe","51","red-102","blue-72","risky","safe","534","10","bandit-task","30","137658","0.0-3.0-0.27","95","high"
"29","safe","49","red-161","blue-51","risky","safe","550","10","bandit-task","31","140634","0.0-3.0-0.28","95","high"
"30","safe","50","red-93","blue-78","risky","safe","543","10","bandit-task","32","143606","0.0-3.0-0.29","95","high"
"31","safe","51","red-97","blue-197","risky","safe","486","10","bandit-task","33","146622","0.0-3.0-0.30","95","high"
"32","safe","51","red-114","blue-209","risky","safe","502","10","bandit-task","34","149677","0.0-3.0-0.31","95","high"
"33","safe","49","red-33","blue-185","risky","safe","615","10","bandit-task","35","152790","0.0-3.0-0.32","95","high"
"34","safe","49","red-169","blue-79","risky","safe","535","10","bandit-task","36","155725","0.0-3.0-0.33","95","high"
"35","safe","50","red-134","blue-165","risky","safe","559","10","bandit-task","37","158789","0.0-3.0-0.34","95","high"
"36","safe","50","red-203","blue-191","risky","safe","550","10","bandit-task","38","161925","0.0-3.0-0.35","95","high"
"37","safe","52","red-125","blue-27","risky","safe","558","10","bandit-task","39","165173","0.0-3.0-0.36","95","high"
"38","safe","50","red-119","blue-18","risky","safe","486","10","bandit-task","40","168076","0.0-3.0-0.37","95","high"
"39","safe","49","red-65","blue-20","risky","safe","535","10","bandit-task","41","171212","0.0-3.0-0.38","95","high"
"40","safe","48","red-139","blue-115","risky","safe","495","10","bandit-task","42","174332","0.0-3.0-0.39","95","high"
"41","safe","50","red-8","blue-36","risky","safe","527","10","bandit-task","43","177316","0.0-3.0-0.40","95","high"
"42","safe","49","red-142","blue-128","risky","safe","590","10","bandit-task","44","180332","0.0-3.0-0.41","95","high"
"43","safe","51","red-146","blue-34","risky","safe","462","10","bandit-task","45","183508","0.0-3.0-0.42","95","high"
"44","safe","50","red-105","blue-187","risky","safe","454","10","bandit-task","46","186955","0.0-3.0-0.43","95","high"
"45","safe","49","red-148","blue-73","risky","safe","495","10","bandit-task","47","191436","0.0-3.0-0.44","95","high"
"46","safe","50","red-24","blue-170","risky","safe","909","10","bandit-task","48","194771","0.0-3.0-0.45","95","high"
"47","safe","51","red-68","blue-23","risky","safe","687","10","bandit-task","49","197900","0.0-3.0-0.46","95","high"
"48","safe","50","red-31","blue-77","risky","safe","1493","10","bandit-task","50","201827","0.0-3.0-0.47","95","high"
"49","safe","49","red-145","blue-13","risky","safe","494","10","bandit-task","51","204909","0.0-3.0-0.48","95","high"
"50","safe","52","red-21","blue-214","risky","safe","503","10","bandit-task","52","208197","0.0-3.0-0.49","95","high"
"51","safe","51","red-127","blue-175","risky","safe","694","10","bandit-task","53","211389","0.0-3.0-0.50","95","high"
"52","safe","50","red-140","blue-55","risky","safe","598","10","bandit-task","54","214733","0.0-3.0-0.51","95","high"
"53","safe","50","red-143","blue-47","risky","safe","590","10","bandit-task","55","218037","0.0-3.0-0.52","95","high"
"54","safe","50","red-184","blue-26","risky","safe","414","10","bandit-task","56","220869","0.0-3.0-0.53","95","high"
"55","safe","51","red-195","blue-22","risky","safe","655","10","bandit-task","57","224340","0.0-3.0-0.54","95","high"
"56","safe","52","red-110","blue-156","risky","safe","503","10","bandit-task","58","227372","0.0-3.0-0.55","95","high"
"57","safe","51","red-178","blue-52","risky","safe","502","10","bandit-task","59","230332","0.0-3.0-0.56","95","high"
"58","safe","49","red-3","blue-123","risky","safe","430","10","bandit-task","60","233412","0.0-3.0-0.57","95","high"
"59","safe","51","red-196","blue-183","risky","safe","406","10","bandit-task","61","236196","0.0-3.0-0.58","95","high"
"60","safe","50","red-4","blue-19","risky","safe","470","10","bandit-task","62","239075","0.0-3.0-0.59","95","high"
"61","safe","50","red-50","blue-130","risky","safe","511","10","bandit-task","63","241980","0.0-3.0-0.60","95","high"
"62","safe","51","red-53","blue-167","risky","safe","430","10","bandit-task","64","244804","0.0-3.0-0.61","95","high"
"63","safe","50","red-100","blue-158","risky","safe","415","10","bandit-task","65","247579","0.0-3.0-0.62","95","high"
"64","safe","50","red-49","blue-171","risky","safe","430","10","bandit-task","66","250419","0.0-3.0-0.63","95","high"
"65","safe","50","red-16","blue-219","risky","safe","397","10","bandit-task","67","253227","0.0-3.0-0.64","95","high"
"66","safe","51","red-202","blue-44","risky","safe","422","10","bandit-task","68","256067","0.0-3.0-0.65","95","high"
"67","safe","51","red-57","blue-210","risky","safe","446","10","bandit-task","69","258971","0.0-3.0-0.66","95","high"
"68","safe","50","red-141","blue-192","risky","safe","686","10","bandit-task","70","262091","0.0-3.0-0.67","95","high"
"69","safe","50","red-163","blue-41","risky","safe","502","10","bandit-task","71","265238","0.0-3.0-0.68","95","high"
"70","safe","50","red-124","blue-56","risky","safe","462","10","bandit-task","72","268141","0.0-3.0-0.69","95","high"
"71","safe","51","red-168","blue-107","risky","safe","502","10","bandit-task","73","271165","0.0-3.0-0.70","95","high"
"72","safe","49","red-7","blue-81","risky","safe","454","10","bandit-task","74","274093","0.0-3.0-0.71","95","high"
"73","safe","50","red-10","blue-25","risky","safe","470","10","bandit-task","75","278117","0.0-3.0-0.72","95","high"
"74","safe","50","red-37","blue-136","risky","safe","495","10","bandit-task","76","281125","0.0-3.0-0.73","95","high"
"75","safe","50","red-193","blue-211","risky","safe","534","10","bandit-task","77","284101","0.0-3.0-0.74","95","high"
"76","safe","49","red-98","blue-2","risky","safe","527","10","bandit-task","78","287157","0.0-3.0-0.75","95","high"
"77","safe","50","red-1","blue-32","risky","safe","566","10","bandit-task","79","290493","0.0-3.0-0.76","95","high"
"78","safe","51","red-28","blue-198","risky","safe","477","10","bandit-task","80","293396","0.0-3.0-0.77","95","high"
"79","safe","50","red-64","blue-164","risky","safe","502","10","bandit-task","81","296644","0.0-3.0-0.78","95","high"
"80","safe","50","red-62","blue-189","risky","safe","494","10","bandit-task","82","299572","0.0-3.0-0.79","95","high"
"81","safe","50","red-35","blue-80","risky","safe","590","10","bandit-task","83","302771","0.0-3.0-0.80","95","high"
"82","safe","50","red-133","blue-120","risky","safe","575","10","bandit-task","84","305844","0.0-3.0-0.81","95","high"
"83","safe","51","red-14","blue-208","risky","safe","518","10","bandit-task","85","308963","0.0-3.0-0.82","95","high"
"84","safe","52","red-173","blue-96","risky","safe","455","10","bandit-task","86","312123","0.0-3.0-0.83","95","high"
"85","safe","51","red-58","blue-205","risky","safe","565","10","bandit-task","87","315203","0.0-3.0-0.84","95","high"
"86","safe","51","red-40","blue-144","risky","safe","446","10","bandit-task","88","318235","0.0-3.0-0.85","95","high"
"87","safe","50","red-29","blue-89","risky","safe","462","10","bandit-task","89","321243","0.0-3.0-0.86","95","high"
"88","safe","51","red-190","blue-30","risky","safe","422","10","bandit-task","90","324090","0.0-3.0-0.87","95","high"
"89","safe","49","red-86","blue-152","risky","safe","391","10","bandit-task","91","326877","0.0-3.0-0.88","95","high"
"90","safe","52","red-113","blue-151","risky","safe","460","10","bandit-task","92","329709","0.0-3.0-0.89","95","high"
"91","safe","51","red-12","blue-160","risky","safe","453","10","bandit-task","93","332669","0.0-3.0-0.90","95","high"
"92","safe","50","red-109","blue-5","risky","safe","470","10","bandit-task","94","335589","0.0-3.0-0.91","95","high"
"93","safe","49","red-45","blue-121","risky","safe","446","10","bandit-task","95","338469","0.0-3.0-0.92","95","high"
"94","safe","49","red-6","blue-204","risky","safe","398","10","bandit-task","96","341884","0.0-3.0-0.93","95","high"
"95","safe","49","red-216","blue-112","risky","safe","406","10","bandit-task","97","344764","0.0-3.0-0.94","95","high"
"96","safe","50","red-217","blue-176","risky","safe","455","10","bandit-task","98","350620","0.0-3.0-0.95","95","high"
"97","safe","52","red-83","blue-186","risky","safe","1110","10","bandit-task","99","354644","0.0-3.0-0.96","95","high"
"98","safe","50","red-95","blue-200","risky","safe","629","10","bandit-task","100","357796","0.0-3.0-0.97","95","high"
"99","safe","50","red-88","blue-90","risky","safe","558","10","bandit-task","101","361228","0.0-3.0-0.98","95","high"
"100","safe","51","red-85","blue-87","risky","safe","838","10","bandit-task","102","364947","0.0-3.0-0.99","95","high"
"101","safe","49","red-181","blue-147","risky","safe","710","10","bandit-task","103","368235","0.0-3.0-0.100","95","high"
"102","safe","52","red-74","blue-69","risky","safe","622","10","bandit-task","104","371267","0.0-3.0-0.101","95","high"
"103","safe","49","red-43","blue-182","risky","safe","637","10","bandit-task","105","374323","0.0-3.0-0.102","95","high"
"104","safe","51","red-150","blue-116","risky","safe","422","10","bandit-task","106","377123","0.0-3.0-0.103","95","high"
"105","safe","49","red-129","blue-180","risky","safe","486","10","bandit-task","107","380267","0.0-3.0-0.104","95","high"
"106","safe","46","red-70","blue-104","risky","safe","606","10","bandit-task","108","383538","0.0-3.0-0.105","95","high"
"107","safe","","red-132","blue-59","risky","safe","558","10","bandit-task","109","387589","0.0-3.0-0.106","95","high"
"108","safe","","red-63","blue-206","risky","safe","1094","10","bandit-task","110","391365","0.0-3.0-0.107","95","high"
"109","safe","","red-177","blue-101","risky","safe","1717","10","bandit-task","111","395557","0.0-3.0-0.108","95","high"
"110","risky","47","red-60","blue-194","risky","safe","558","10","bandit-task","112","398700","0.0-3.0-0.109","95","high"
