"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","safe","51","red-214","blue-121","risky","safe","2486","8","bandit-task","3","54556","0.0-3.0-0.0","23","high"
"2","safe","50","red-152","blue-41","risky","safe","2506","8","bandit-task","4","59734","0.0-3.0-0.1","23","high"
"3","safe","51","red-6","blue-154","risky","safe","3263","8","bandit-task","5","65742","0.0-3.0-0.2","23","high"
"4","safe","49","red-187","blue-62","risky","safe","1655","8","bandit-task","6","69926","0.0-3.0-0.3","23","high"
"5","safe","49","red-103","blue-17","risky","safe","1814","8","bandit-task","7","74414","0.0-3.0-0.4","23","high"
"6","safe","49","red-42","blue-65","risky","safe","3142","8","bandit-task","8","80134","0.0-3.0-0.5","23","high"
"7","safe","48","red-142","blue-45","risky","safe","1639","8","bandit-task","9","84333","0.0-3.0-0.6","23","high"
"8","safe","50","red-93","blue-202","risky","safe","4133","8","bandit-task","10","90917","0.0-3.0-0.7","23","high"
"9","safe","49","red-11","blue-75","risky","safe","822","8","bandit-task","11","94149","0.0-3.0-0.8","23","high"
"10","safe","51","red-28","blue-150","risky","safe","670","8","bandit-task","12","97269","0.0-3.0-0.9","23","high"
"11","safe","51","red-131","blue-194","risky","safe","966","8","bandit-task","13","100580","0.0-3.0-0.10","23","high"
"12","safe","51","red-206","blue-132","risky","safe","583","8","bandit-task","14","103684","0.0-3.0-0.11","23","high"
"13","safe","53","red-15","blue-38","risky","safe","534","8","bandit-task","15","106628","0.0-3.0-0.12","23","high"
"14","safe","50","red-31","blue-10","risky","safe","607","8","bandit-task","16","109612","0.0-3.0-0.13","23","high"
"15","safe","52","red-43","blue-8","risky","safe","2454","8","bandit-task","17","114516","0.0-3.0-0.14","23","high"
"16","safe","50","red-3","blue-174","risky","safe","718","8","bandit-task","18","117631","0.0-3.0-0.15","23","high"
"17","safe","51","red-145","blue-46","risky","safe","1335","8","bandit-task","19","121391","0.0-3.0-0.16","23","high"
"18","safe","49","red-177","blue-117","risky","safe","1054","8","bandit-task","20","124839","0.0-3.0-0.17","23","high"
"19","safe","48","red-78","blue-102","risky","safe","1134","8","bandit-task","21","128575","0.0-3.0-0.18","23","high"
"20","safe","50","red-56","blue-199","risky","safe","7246","8","bandit-task","22","138326","0.0-3.0-0.19","23","high"
"21","safe","49","red-217","blue-82","risky","safe","2119","8","bandit-task","23","142958","0.0-3.0-0.20","23","high"
"22","safe","48","red-191","blue-190","risky","safe","918","8","bandit-task","24","146317","0.0-3.0-0.21","23","high"
"23","safe","47","red-138","blue-147","risky","safe","695","8","bandit-task","25","149413","0.0-3.0-0.22","23","high"
"24","safe","51","red-167","blue-203","risky","safe","2670","8","bandit-task","26","154773","0.0-3.0-0.23","23","high"
"25","safe","49","red-209","blue-157","risky","safe","910","8","bandit-task","27","158045","0.0-3.0-0.24","23","high"
"26","safe","50","red-166","blue-139","risky","safe","951","8","bandit-task","28","161373","0.0-3.0-0.25","23","high"
"27","safe","51","red-50","blue-127","risky","safe","2222","8","bandit-task","29","165900","0.0-3.0-0.26","23","high"
"28","safe","51","red-111","blue-151","risky","safe","6526","8","bandit-task","30","175476","0.0-3.0-0.27","23","high"
"29","safe","51","red-14","blue-76","risky","safe","1022","8","bandit-task","31","179310","0.0-3.0-0.28","23","high"
"30","safe","49","red-175","blue-189","risky","safe","4014","8","bandit-task","32","185694","0.0-3.0-0.29","23","high"
"31","safe","50","red-2","blue-198","risky","safe","799","8","bandit-task","33","188869","0.0-3.0-0.30","23","high"
"32","safe","50","red-1","blue-90","risky","safe","767","8","bandit-task","34","191957","0.0-3.0-0.31","23","high"
"33","safe","51","red-144","blue-86","risky","safe","463","8","bandit-task","35","194917","0.0-3.0-0.32","23","high"
"34","safe","51","red-74","blue-163","risky","safe","2214","8","bandit-task","36","199509","0.0-3.0-0.33","23","high"
"35","safe","51","red-44","blue-99","risky","safe","558","8","bandit-task","37","202453","0.0-3.0-0.34","23","high"
"36","safe","49","red-29","blue-200","risky","safe","439","8","bandit-task","38","205253","0.0-3.0-0.35","23","high"
"37","safe","49","red-136","blue-72","risky","safe","599","8","bandit-task","39","208188","0.0-3.0-0.36","23","high"
"38","safe","50","red-115","blue-23","risky","safe","535","8","bandit-task","40","211285","0.0-3.0-0.37","23","high"
"39","safe","50","red-126","blue-197","risky","safe","551","8","bandit-task","41","214284","0.0-3.0-0.38","23","high"
"40","safe","51","red-36","blue-106","risky","safe","542","8","bandit-task","42","217220","0.0-3.0-0.39","23","high"
"41","safe","49","red-94","blue-219","risky","safe","479","8","bandit-task","43","220076","0.0-3.0-0.40","23","high"
"42","safe","48","red-158","blue-79","risky","safe","486","8","bandit-task","44","223092","0.0-3.0-0.41","23","high"
"43","safe","49","red-33","blue-153","risky","safe","550","8","bandit-task","45","226340","0.0-3.0-0.42","23","high"
"44","safe","49","red-188","blue-124","risky","safe","590","8","bandit-task","46","229379","0.0-3.0-0.43","23","high"
"45","safe","50","red-20","blue-156","risky","safe","623","8","bandit-task","47","232492","0.0-3.0-0.44","23","high"
"46","safe","49","red-164","blue-141","risky","safe","526","8","bandit-task","48","235355","0.0-3.0-0.45","23","high"
"47","safe","49","red-120","blue-196","risky","safe","471","8","bandit-task","49","238223","0.0-3.0-0.46","23","high"
"48","safe","52","red-159","blue-109","risky","safe","439","8","bandit-task","50","240983","0.0-3.0-0.47","23","high"
"49","safe","50","red-193","blue-134","risky","safe","359","8","bandit-task","51","243694","0.0-3.0-0.48","23","high"
"50","safe","49","red-180","blue-171","risky","safe","335","8","bandit-task","52","246471","0.0-3.0-0.49","23","high"
"51","safe","51","red-66","blue-123","risky","safe","471","8","bandit-task","53","249270","0.0-3.0-0.50","23","high"
"52","safe","51","red-13","blue-25","risky","safe","487","8","bandit-task","54","252462","0.0-3.0-0.51","23","high"
"53","safe","51","red-179","blue-129","risky","safe","486","8","bandit-task","55","255366","0.0-3.0-0.52","23","high"
"54","safe","50","red-4","blue-140","risky","safe","2134","8","bandit-task","56","259894","0.0-3.0-0.53","23","high"
"55","safe","49","red-7","blue-185","risky","safe","502","8","bandit-task","57","262782","0.0-3.0-0.54","23","high"
"56","safe","50","red-165","blue-216","risky","safe","734","8","bandit-task","58","265870","0.0-3.0-0.55","23","high"
"57","safe","50","red-208","blue-211","risky","safe","1694","8","bandit-task","59","269989","0.0-3.0-0.56","23","high"
"58","safe","51","red-148","blue-130","risky","safe","623","8","bandit-task","60","272989","0.0-3.0-0.57","23","high"
"59","safe","48","red-88","blue-112","risky","safe","486","8","bandit-task","61","275901","0.0-3.0-0.58","23","high"
"60","safe","50","red-9","blue-173","risky","safe","598","8","bandit-task","62","279133","0.0-3.0-0.59","23","high"
"61","safe","50","red-178","blue-149","risky","safe","646","8","bandit-task","63","282189","0.0-3.0-0.60","23","high"
"62","safe","51","red-195","blue-135","risky","safe","926","8","bandit-task","64","285765","0.0-3.0-0.61","23","high"
"63","safe","49","red-213","blue-146","risky","safe","478","8","bandit-task","65","288588","0.0-3.0-0.62","23","high"
"64","safe","49","red-84","blue-61","risky","safe","455","8","bandit-task","66","291372","0.0-3.0-0.63","23","high"
"65","safe","51","red-57","blue-19","risky","safe","462","8","bandit-task","67","294164","0.0-3.0-0.64","23","high"
"66","safe","52","red-119","blue-113","risky","safe","462","8","bandit-task","68","297012","0.0-3.0-0.65","23","high"
"67","safe","48","red-205","blue-69","risky","safe","422","8","bandit-task","69","300141","0.0-3.0-0.66","23","high"
"68","safe","50","red-98","blue-101","risky","safe","470","8","bandit-task","70","303006","0.0-3.0-0.67","23","high"
"69","safe","49","red-201","blue-30","risky","safe","374","8","bandit-task","71","305702","0.0-3.0-0.68","23","high"
"70","safe","49","red-118","blue-96","risky","safe","430","8","bandit-task","72","308462","0.0-3.0-0.69","23","high"
"71","safe","50","red-137","blue-63","risky","safe","398","8","bandit-task","73","311221","0.0-3.0-0.70","23","high"
"72","safe","49","red-37","blue-51","risky","safe","470","8","bandit-task","74","314102","0.0-3.0-0.71","23","high"
"73","safe","51","red-204","blue-24","risky","safe","438","8","bandit-task","75","316933","0.0-3.0-0.72","23","high"
"74","safe","51","red-116","blue-97","risky","safe","342","8","bandit-task","76","319597","0.0-3.0-0.73","23","high"
"75","safe","49","red-26","blue-49","risky","safe","703","8","bandit-task","77","322604","0.0-3.0-0.74","23","high"
"76","safe","49","red-108","blue-183","risky","safe","359","8","bandit-task","78","325357","0.0-3.0-0.75","23","high"
"77","safe","50","red-176","blue-181","risky","safe","406","8","bandit-task","79","328220","0.0-3.0-0.76","23","high"
"78","safe","49","red-184","blue-172","risky","safe","862","8","bandit-task","80","331540","0.0-3.0-0.77","23","high"
"79","safe","49","red-110","blue-16","risky","safe","511","8","bandit-task","81","334460","0.0-3.0-0.78","23","high"
"80","safe","50","red-48","blue-89","risky","safe","503","8","bandit-task","82","337340","0.0-3.0-0.79","23","high"
"81","safe","50","red-107","blue-64","risky","safe","399","8","bandit-task","83","340156","0.0-3.0-0.80","23","high"
"82","safe","51","red-47","blue-73","risky","safe","438","8","bandit-task","84","343044","0.0-3.0-0.81","23","high"
"83","safe","52","red-53","blue-35","risky","safe","502","8","bandit-task","85","346188","0.0-3.0-0.82","23","high"
"84","safe","50","red-169","blue-155","risky","safe","918","8","bandit-task","86","349563","0.0-3.0-0.83","23","high"
"85","safe","51","red-52","blue-67","risky","safe","807","8","bandit-task","87","352867","0.0-3.0-0.84","23","high"
"86","safe","49","red-12","blue-18","risky","safe","503","8","bandit-task","88","355795","0.0-3.0-0.85","23","high"
"87","safe","50","red-207","blue-27","risky","safe","374","8","bandit-task","89","358511","0.0-3.0-0.86","23","high"
"88","safe","50","red-5","blue-218","risky","safe","438","8","bandit-task","90","361399","0.0-3.0-0.87","23","high"
"89","safe","49","red-71","blue-95","risky","safe","455","8","bandit-task","91","364327","0.0-3.0-0.88","23","high"
"90","safe","49","red-160","blue-34","risky","safe","422","8","bandit-task","92","367078","0.0-3.0-0.89","23","high"
