"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","safe","50","blue-12","red-210","risky","safe","2930","6","bandit-task","3","49615","0.0-3.0-0.0","65","high"
"2","safe","50","blue-219","red-156","risky","safe","2726","6","bandit-task","4","55402","0.0-3.0-0.1","65","high"
"3","safe","49","blue-198","red-4","risky","safe","3518","6","bandit-task","5","61898","0.0-3.0-0.2","65","high"
"4","safe","50","blue-165","red-100","risky","safe","2622","6","bandit-task","6","67449","0.0-3.0-0.3","65","high"
"5","safe","51","blue-214","red-3","risky","safe","2015","6","bandit-task","7","72481","0.0-3.0-0.4","65","high"
"6","risky","52","blue-74","red-173","risky","safe","4230","6","bandit-task","8","79657","0.0-3.0-0.5","65","high"
"7","safe","48","blue-148","red-69","risky","safe","1887","6","bandit-task","9","84209","0.0-3.0-0.6","65","high"
"8","safe","50","blue-159","red-170","risky","safe","2422","6","bandit-task","10","89720","0.0-3.0-0.7","65","high"
"9","safe","51","blue-38","red-29","risky","safe","1494","6","bandit-task","11","94256","0.0-3.0-0.8","65","high"
"10","risky","67","blue-200","red-120","risky","safe","1982","6","bandit-task","12","99240","0.0-3.0-0.9","65","high"
"11","risky","87","blue-179","red-106","risky","safe","3423","6","bandit-task","13","105655","0.0-3.0-0.10","65","high"
"12","risky","58","blue-78","red-92","risky","safe","1935","6","bandit-task","14","110263","0.0-3.0-0.11","65","high"
"13","risky","66","blue-181","red-152","risky","safe","2087","6","bandit-task","15","115143","0.0-3.0-0.12","65","high"
"14","safe","49","blue-16","red-97","risky","safe","1289","6","bandit-task","16","119234","0.0-3.0-0.13","65","high"
"15","risky","51","blue-58","red-51","risky","safe","1358","6","bandit-task","17","123674","0.0-3.0-0.14","65","high"
"16","risky","42","blue-157","red-109","risky","safe","1679","6","bandit-task","18","127913","0.0-3.0-0.15","65","high"
"17","safe","51","blue-50","red-180","risky","safe","1271","6","bandit-task","19","132297","0.0-3.0-0.16","65","high"
"18","risky","78","blue-190","red-42","risky","safe","1918","6","bandit-task","20","136777","0.0-3.0-0.17","65","high"
"19","risky","58","blue-13","red-167","risky","safe","2086","6","bandit-task","21","141497","0.0-3.0-0.18","65","high"
"20","risky","21","blue-24","red-26","risky","safe","2287","6","bandit-task","22","146817","0.0-3.0-0.19","65","high"
"21","risky","14","blue-85","red-34","risky","safe","2022","6","bandit-task","23","151480","0.0-3.0-0.20","65","high"
"22","safe","52","blue-72","red-94","risky","safe","1510","6","bandit-task","24","156272","0.0-3.0-0.21","65","high"
"23","risky","44","blue-5","red-216","risky","safe","3638","6","bandit-task","25","162392","0.0-3.0-0.22","65","high"
"24","safe","51","blue-18","red-87","risky","safe","3190","6","bandit-task","26","168096","0.0-3.0-0.23","65","high"
"25","risky","27","blue-67","red-168","risky","safe","2431","6","bandit-task","27","173031","0.0-3.0-0.24","65","high"
"26","risky","70","blue-144","red-131","risky","safe","1614","6","bandit-task","28","177138","0.0-3.0-0.25","65","high"
"27","safe","51","blue-126","red-80","risky","safe","1502","6","bandit-task","29","181457","0.0-3.0-0.26","65","high"
"28","safe","49","blue-135","red-209","risky","safe","2614","6","bandit-task","30","186769","0.0-3.0-0.27","65","high"
"29","risky","20","blue-174","red-71","risky","safe","2974","6","bandit-task","31","192361","0.0-3.0-0.28","65","high"
"30","risky","56","blue-11","red-192","risky","safe","1726","6","bandit-task","32","196673","0.0-3.0-0.29","65","high"
"31","risky","16","blue-62","red-137","risky","safe","1350","6","bandit-task","33","200576","0.0-3.0-0.30","65","high"
"32","safe","50","blue-133","red-101","risky","safe","2903","6","bandit-task","34","206584","0.0-3.0-0.31","65","high"
"33","risky","55","blue-75","red-183","risky","safe","2581","6","bandit-task","35","211904","0.0-3.0-0.32","65","high"
"34","risky","38","blue-185","red-30","risky","safe","3295","6","bandit-task","36","217792","0.0-3.0-0.33","65","high"
"35","safe","51","blue-213","red-162","risky","safe","1535","6","bandit-task","37","222256","0.0-3.0-0.34","65","high"
"36","safe","49","blue-186","red-194","risky","safe","3093","6","bandit-task","38","227951","0.0-3.0-0.35","65","high"
"37","safe","51","blue-143","red-107","risky","safe","2990","6","bandit-task","39","233575","0.0-3.0-0.36","65","high"
"38","safe","49","blue-141","red-102","risky","safe","1918","6","bandit-task","40","237961","0.0-3.0-0.37","65","high"
"39","risky","37","blue-96","red-207","risky","safe","1222","6","bandit-task","41","241585","0.0-3.0-0.38","65","high"
"40","risky","28","blue-124","red-164","risky","safe","1742","6","bandit-task","42","245904","0.0-3.0-0.39","65","high"
"41","safe","50","blue-204","red-114","risky","safe","1559","6","bandit-task","43","250000","0.0-3.0-0.40","65","high"
"42","safe","50","blue-127","red-19","risky","safe","1935","6","bandit-task","44","254520","0.0-3.0-0.41","65","high"
"43","safe","49","blue-31","red-123","risky","safe","2478","6","bandit-task","45","260080","0.0-3.0-0.42","65","high"
"44","risky","64","blue-41","red-105","risky","safe","3862","6","bandit-task","46","267032","0.0-3.0-0.43","65","high"
"45","risky","27","blue-189","red-142","risky","safe","2302","6","bandit-task","47","272103","0.0-3.0-0.44","65","high"
"46","safe","52","blue-169","red-140","risky","safe","2742","6","bandit-task","48","277831","0.0-3.0-0.45","65","high"
"47","safe","51","blue-23","red-195","risky","safe","2046","6","bandit-task","49","282487","0.0-3.0-0.46","65","high"
"48","safe","49","blue-22","red-32","risky","safe","1566","6","bandit-task","50","286854","0.0-3.0-0.47","65","high"
"49","safe","48","blue-160","red-128","risky","safe","2551","6","bandit-task","51","291919","0.0-3.0-0.48","65","high"
"50","safe","52","blue-76","red-33","risky","safe","2453","6","bandit-task","52","296862","0.0-3.0-0.49","65","high"
"51","safe","53","blue-68","red-151","risky","safe","3101","6","bandit-task","53","302404","0.0-3.0-0.50","65","high"
"52","risky","85","blue-39","red-57","risky","safe","1598","6","bandit-task","54","306436","0.0-3.0-0.51","65","high"
"53","risky","70","blue-177","red-146","risky","safe","2734","6","bandit-task","55","311644","0.0-3.0-0.52","65","high"
"54","risky","55","blue-52","red-202","risky","safe","1542","6","bandit-task","56","315660","0.0-3.0-0.53","65","high"
