"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","14","blue-140","red-150","risky","safe","2126","5","bandit-task","3","45139","0.0-3.0-0.0","60","high"
"2","safe","51","blue-73","red-135","risky","safe","4334","5","bandit-task","4","53261","0.0-3.0-0.1","60","high"
"3","safe","51","blue-65","red-18","risky","safe","3654","5","bandit-task","5","59741","0.0-3.0-0.2","60","high"
"4","risky","36","blue-20","red-1","risky","safe","3822","5","bandit-task","6","66381","0.0-3.0-0.3","60","high"
"5","safe","48","blue-216","red-166","risky","safe","2759","5","bandit-task","7","71940","0.0-3.0-0.4","60","high"
"6","safe","49","blue-111","red-105","risky","safe","1543","5","bandit-task","8","75988","0.0-3.0-0.5","60","high"
"7","risky","43","blue-95","red-178","risky","safe","2774","5","bandit-task","9","81388","0.0-3.0-0.6","60","high"
"8","risky","56","blue-126","red-158","risky","safe","1998","5","bandit-task","10","86044","0.0-3.0-0.7","60","high"
"9","risky","38","blue-160","red-180","risky","safe","3495","5","bandit-task","11","92147","0.0-3.0-0.8","60","high"
"10","safe","49","blue-17","red-220","risky","safe","1134","5","bandit-task","12","95883","0.0-3.0-0.9","60","high"
"11","safe","51","blue-136","red-159","risky","safe","1518","5","bandit-task","13","100075","0.0-3.0-0.10","60","high"
"12","safe","49","blue-48","red-100","risky","safe","3870","5","bandit-task","14","106539","0.0-3.0-0.11","60","high"
"13","safe","51","blue-108","red-145","risky","safe","2070","5","bandit-task","15","111139","0.0-3.0-0.12","60","high"
"14","safe","51","blue-88","red-113","risky","safe","2529","5","bandit-task","16","116093","0.0-3.0-0.13","60","high"
"15","risky","59","blue-14","red-197","risky","safe","2646","5","bandit-task","17","121237","0.0-3.0-0.14","60","high"
"16","risky","40","blue-61","red-79","risky","safe","1622","5","bandit-task","18","125332","0.0-3.0-0.15","60","high"
"17","safe","51","blue-188","red-52","risky","safe","2151","5","bandit-task","19","129828","0.0-3.0-0.16","60","high"
"18","risky","40","blue-50","red-195","risky","safe","2982","5","bandit-task","20","135788","0.0-3.0-0.17","60","high"
"19","risky","56","blue-165","red-200","risky","safe","1661","5","bandit-task","21","140252","0.0-3.0-0.18","60","high"
"20","risky","66","blue-144","red-219","risky","safe","2126","5","bandit-task","22","144763","0.0-3.0-0.19","60","high"
"21","safe","49","blue-139","red-63","risky","safe","1110","5","bandit-task","23","148372","0.0-3.0-0.20","60","high"
