"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","79","blue-98","red-188","safe","risky","2437","8","bandit-task","3","38509","0.0-3.0-0.0","17","high"
"2","safe","51","blue-127","red-69","safe","risky","1886","8","bandit-task","4","43915","0.0-3.0-0.1","17","high"
"3","risky","46","blue-197","red-117","safe","risky","2478","8","bandit-task","5","49155","0.0-3.0-0.2","17","high"
"4","safe","50","blue-14","red-91","safe","risky","1142","8","bandit-task","6","53011","0.0-3.0-0.3","17","high"
"5","risky","44","blue-77","red-81","safe","risky","878","8","bandit-task","7","56523","0.0-3.0-0.4","17","high"
"6","safe","51","blue-208","red-33","safe","risky","1335","8","bandit-task","8","60467","0.0-3.0-0.5","17","high"
"7","safe","49","blue-99","red-95","safe","risky","1183","8","bandit-task","9","64394","0.0-3.0-0.6","17","high"
"8","risky","67","blue-15","red-13","safe","risky","751","8","bandit-task","10","67634","0.0-3.0-0.7","17","high"
"9","risky","14","blue-206","red-119","safe","risky","1006","8","bandit-task","11","71282","0.0-3.0-0.8","17","high"
"10","safe","49","blue-27","red-215","safe","risky","1030","8","bandit-task","12","74922","0.0-3.0-0.9","17","high"
"11","safe","49","blue-66","red-210","safe","risky","926","8","bandit-task","13","78442","0.0-3.0-0.10","17","high"
"12","risky","50","blue-166","red-218","safe","risky","750","8","bandit-task","14","81714","0.0-3.0-0.11","17","high"
"13","risky","45","blue-118","red-135","safe","risky","1063","8","bandit-task","15","85321","0.0-3.0-0.12","17","high"
"14","safe","48","blue-180","red-202","safe","risky","910","8","bandit-task","16","88897","0.0-3.0-0.13","17","high"
"15","risky","37","blue-17","red-191","safe","risky","822","8","bandit-task","17","92265","0.0-3.0-0.14","17","high"
"16","safe","50","blue-22","red-58","safe","risky","902","8","bandit-task","18","95737","0.0-3.0-0.15","17","high"
"17","safe","49","blue-36","red-212","safe","risky","799","8","bandit-task","19","99104","0.0-3.0-0.16","17","high"
"18","risky","40","blue-64","red-100","safe","risky","647","8","bandit-task","20","102400","0.0-3.0-0.17","17","high"
"19","safe","51","blue-49","red-139","safe","risky","871","8","bandit-task","21","106080","0.0-3.0-0.18","17","high"
"20","risky","37","blue-128","red-11","safe","risky","903","8","bandit-task","22","109880","0.0-3.0-0.19","17","high"
"21","risky","48","blue-55","red-108","safe","risky","863","8","bandit-task","23","113224","0.0-3.0-0.20","17","high"
"22","safe","51","blue-83","red-142","safe","risky","942","8","bandit-task","24","116776","0.0-3.0-0.21","17","high"
"23","risky","66","blue-73","red-80","safe","risky","1614","8","bandit-task","25","121064","0.0-3.0-0.22","17","high"
"24","safe","51","blue-173","red-19","safe","risky","1222","8","bandit-task","26","124960","0.0-3.0-0.23","17","high"
"25","risky","28","blue-152","red-112","safe","risky","1087","8","bandit-task","27","128511","0.0-3.0-0.24","17","high"
"26","risky","85","blue-199","red-169","safe","risky","1447","8","bandit-task","28","132623","0.0-3.0-0.25","17","high"
"27","risky","69","blue-182","red-41","safe","risky","1534","8","bandit-task","29","136655","0.0-3.0-0.26","17","high"
"28","safe","53","blue-38","red-163","safe","risky","959","8","bandit-task","30","140199","0.0-3.0-0.27","17","high"
"29","safe","50","blue-32","red-205","safe","risky","1406","8","bandit-task","31","144207","0.0-3.0-0.28","17","high"
"30","risky","32","blue-155","red-175","safe","risky","1246","8","bandit-task","32","148055","0.0-3.0-0.29","17","high"
"31","risky","38","blue-7","red-56","safe","risky","1591","8","bandit-task","33","152175","0.0-3.0-0.30","17","high"
"32","safe","52","blue-145","red-200","safe","risky","1014","8","bandit-task","34","155639","0.0-3.0-0.31","17","high"
"33","safe","50","blue-31","red-21","safe","risky","2039","8","bandit-task","35","160526","0.0-3.0-0.32","17","high"
"34","safe","51","blue-74","red-4","safe","risky","1159","8","bandit-task","36","164446","0.0-3.0-0.33","17","high"
"35","risky","74","blue-144","red-125","safe","risky","1006","8","bandit-task","37","167993","0.0-3.0-0.34","17","high"
"36","safe","49","blue-183","red-70","safe","risky","1542","8","bandit-task","38","172272","0.0-3.0-0.35","17","high"
"37","risky","53","blue-204","red-107","safe","risky","1199","8","bandit-task","39","176024","0.0-3.0-0.36","17","high"
"38","safe","48","blue-213","red-151","safe","risky","1519","8","bandit-task","40","180096","0.0-3.0-0.37","17","high"
"39","risky","50","blue-184","red-47","safe","risky","1015","8","bandit-task","41","183600","0.0-3.0-0.38","17","high"
"40","safe","50","blue-164","red-178","safe","risky","870","8","bandit-task","42","187064","0.0-3.0-0.39","17","high"
"41","safe","49","blue-71","red-176","safe","risky","1286","8","bandit-task","43","190808","0.0-3.0-0.40","17","high"
"42","risky","82","blue-149","red-85","safe","risky","918","8","bandit-task","44","194327","0.0-3.0-0.41","17","high"
"43","safe","48","blue-198","red-137","safe","risky","1598","8","bandit-task","45","198623","0.0-3.0-0.42","17","high"
"44","risky","55","blue-44","red-84","safe","risky","855","8","bandit-task","46","201959","0.0-3.0-0.43","17","high"
"45","safe","47","blue-35","red-115","safe","risky","1327","8","bandit-task","47","205727","0.0-3.0-0.44","17","high"
"46","risky","48","blue-131","red-171","safe","risky","1453","8","bandit-task","48","209663","0.0-3.0-0.45","17","high"
"47","safe","51","blue-78","red-61","safe","risky","1214","8","bandit-task","49","214231","0.0-3.0-0.46","17","high"
"48","risky","46","blue-54","red-161","safe","risky","942","8","bandit-task","50","217727","0.0-3.0-0.47","17","high"
"49","safe","49","blue-132","red-106","safe","risky","910","8","bandit-task","51","221095","0.0-3.0-0.48","17","high"
"50","risky","28","blue-120","red-43","safe","risky","967","8","bandit-task","52","224502","0.0-3.0-0.49","17","high"
"51","safe","50","blue-8","red-190","safe","risky","966","8","bandit-task","53","227954","0.0-3.0-0.50","17","high"
"52","safe","51","blue-154","red-87","safe","risky","959","8","bandit-task","54","231394","0.0-3.0-0.51","17","high"
"53","safe","51","blue-39","red-75","safe","risky","1030","8","bandit-task","55","234977","0.0-3.0-0.52","17","high"
