"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","50","red-115","blue-46","safe","risky","4085","9","bandit-task","3","45127","0.0-3.0-0.0","48","low"
"2","safe","50","red-115","blue-46","safe","risky","1478","9","bandit-task","4","49391","0.0-3.0-0.1","48","low"
"3","risky","67","red-115","blue-46","safe","risky","1527","9","bandit-task","5","53943","0.0-3.0-0.2","48","low"
"4","safe","51","red-115","blue-46","safe","risky","1614","9","bandit-task","6","58463","0.0-3.0-0.3","48","low"
"5","safe","47","red-115","blue-46","safe","risky","1438","9","bandit-task","7","62775","0.0-3.0-0.4","48","low"
"6","risky","21","red-115","blue-46","safe","risky","830","9","bandit-task","8","66407","0.0-3.0-0.5","48","low"
"7","risky","56","red-115","blue-46","safe","risky","662","9","bandit-task","9","69766","0.0-3.0-0.6","48","low"
"8","risky","62","red-115","blue-46","safe","risky","631","9","bandit-task","10","73158","0.0-3.0-0.7","48","low"
"9","risky","32","red-115","blue-46","safe","risky","1023","9","bandit-task","11","76718","0.0-3.0-0.8","48","low"
"10","safe","50","red-115","blue-46","safe","risky","559","9","bandit-task","12","79734","0.0-3.0-0.9","48","low"
"11","safe","48","red-115","blue-46","safe","risky","511","9","bandit-task","13","83742","0.0-3.0-0.10","48","low"
"12","safe","50","red-115","blue-46","safe","risky","654","9","bandit-task","14","87054","0.0-3.0-0.11","48","low"
"13","safe","51","red-115","blue-46","safe","risky","615","9","bandit-task","15","90174","0.0-3.0-0.12","48","low"
"14","safe","51","red-115","blue-46","safe","risky","599","9","bandit-task","16","93262","0.0-3.0-0.13","48","low"
"15","safe","51","red-115","blue-46","safe","risky","599","9","bandit-task","17","96605","0.0-3.0-0.14","48","low"
"16","safe","50","red-115","blue-46","safe","risky","510","9","bandit-task","18","99517","0.0-3.0-0.15","48","low"
"17","safe","49","red-115","blue-46","safe","risky","471","9","bandit-task","19","102501","0.0-3.0-0.16","48","low"
"18","risky","49","red-115","blue-46","safe","risky","862","9","bandit-task","20","105781","0.0-3.0-0.17","48","low"
"19","risky","78","red-115","blue-46","safe","risky","462","9","bandit-task","21","108613","0.0-3.0-0.18","48","low"
"20","risky","57","red-115","blue-46","safe","risky","518","9","bandit-task","22","111597","0.0-3.0-0.19","48","low"
"21","risky","28","red-115","blue-46","safe","risky","462","9","bandit-task","23","114477","0.0-3.0-0.20","48","low"
"22","risky","65","red-115","blue-46","safe","risky","574","9","bandit-task","24","117468","0.0-3.0-0.21","48","low"
