"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"63","risky","31","blue-71","red-101","risky","safe","1734","2","bandit-task","65","339132","0.0-3.0-0.62","56","high"
"64","safe","48","blue-166","red-22","risky","safe","478","2","bandit-task","66","342164","0.0-3.0-0.63","56","high"
"65","safe","48","blue-143","red-145","risky","safe","606","2","bandit-task","67","345507","0.0-3.0-0.64","56","high"
"66","safe","48","blue-38","red-114","risky","safe","487","2","bandit-task","68","348387","0.0-3.0-0.65","56","high"
"67","risky","17","blue-7","red-139","risky","safe","487","2","bandit-task","69","351459","0.0-3.0-0.66","56","high"
"68","safe","50","blue-204","red-153","risky","safe","398","2","bandit-task","70","354443","0.0-3.0-0.67","56","high"
"69","safe","50","blue-212","red-164","risky","safe","438","2","bandit-task","71","357347","0.0-3.0-0.68","56","high"
"70","safe","51","blue-33","red-110","risky","safe","350","2","bandit-task","72","360315","0.0-3.0-0.69","56","high"
"71","risky","59","blue-73","red-206","risky","safe","462","2","bandit-task","73","364291","0.0-3.0-0.70","56","high"
"72","safe","50","blue-84","red-155","risky","safe","502","2","bandit-task","74","367243","0.0-3.0-0.71","56","high"
"73","risky","73","blue-219","red-94","risky","safe","470","2","bandit-task","75","371146","0.0-3.0-0.72","56","high"
"74","safe","47","blue-123","red-207","risky","safe","462","2","bandit-task","76","374218","0.0-3.0-0.73","56","high"
"75","risky","18","blue-161","red-108","risky","safe","446","2","bandit-task","77","377066","0.0-3.0-0.74","56","high"
"76","safe","48","blue-182","red-213","risky","safe","422","2","bandit-task","78","380146","0.0-3.0-0.75","56","high"
"77","risky","54","blue-201","red-150","risky","safe","542","2","bandit-task","79","383610","0.0-3.0-0.76","56","high"
"78","safe","49","blue-90","red-58","risky","safe","750","2","bandit-task","80","386788","0.0-3.0-0.77","56","high"
"79","risky","53","blue-10","red-127","risky","safe","438","2","bandit-task","81","390179","0.0-3.0-0.78","56","high"
"80","safe","50","blue-107","red-136","risky","safe","6054","2","bandit-task","82","398923","0.0-3.0-0.79","56","high"
"81","risky","11","blue-39","red-159","risky","safe","406","2","bandit-task","83","402451","0.0-3.0-0.80","56","high"
"82","safe","49","blue-5","red-165","risky","safe","414","2","bandit-task","84","405819","0.0-3.0-0.81","56","high"
"83","safe","49","blue-151","red-180","risky","safe","590","2","bandit-task","85","409251","0.0-3.0-0.82","56","high"
"84","risky","44","blue-48","red-197","risky","safe","894","2","bandit-task","86","412595","0.0-3.0-0.83","56","high"
"85","safe","51","blue-85","red-169","risky","safe","510","2","bandit-task","87","415779","0.0-3.0-0.84","56","high"
"86","risky","49","blue-168","red-149","risky","safe","3622","2","bandit-task","88","422018","0.0-3.0-0.85","56","high"
"87","safe","50","blue-13","red-74","risky","safe","1182","2","bandit-task","89","425618","0.0-3.0-0.86","56","high"
"88","risky","16","blue-24","red-177","risky","safe","582","2","bandit-task","90","428938","0.0-3.0-0.87","56","high"
"89","safe","49","blue-189","red-42","risky","safe","534","2","bandit-task","91","431986","0.0-3.0-0.88","56","high"
"90","safe","49","blue-146","red-157","risky","safe","2078","2","bandit-task","92","436585","0.0-3.0-0.89","56","high"
"91","safe","51","blue-116","red-162","risky","safe","2127","2","bandit-task","93","441505","0.0-3.0-0.90","56","high"
"92","risky","25","blue-81","red-209","risky","safe","1014","2","bandit-task","94","445289","0.0-3.0-0.91","56","high"
"93","safe","50","blue-17","red-60","risky","safe","486","2","bandit-task","95","448476","0.0-3.0-0.92","56","high"
"94","safe","50","blue-158","red-137","risky","safe","1022","2","bandit-task","96","451980","0.0-3.0-0.93","56","high"
"95","safe","51","blue-193","red-47","risky","safe","1390","2","bandit-task","97","455955","0.0-3.0-0.94","56","high"
"96","safe","50","blue-170","red-23","risky","safe","862","2","bandit-task","98","459443","0.0-3.0-0.95","56","high"
"97","risky","45","blue-29","red-50","risky","safe","1607","2","bandit-task","99","463715","0.0-3.0-0.96","56","high"
"98","safe","52","blue-67","red-113","risky","safe","462","2","bandit-task","100","466603","0.0-3.0-0.97","56","high"
