"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","safe","observe","51","red-75","blue-56","risky","safe","2060","bandit-task","7","303425","0.0-6.0","21297","low"
"1","safe","observe","51","red-75","blue-56","risky","safe","1628","bandit-task","8","309570","0.0-7.0","21297","low"
"2","risky","observe","21","red-75","blue-56","risky","safe","684","bandit-task","9","313448","0.0-8.0","21297","low"
"3","safe","observe","50","red-75","blue-56","risky","safe","1634","bandit-task","10","319301","0.0-9.0","21297","low"
"4","safe","observe","51","red-75","blue-56","risky","safe","1902","bandit-task","11","324867","0.0-10.0","21297","low"
"5","risky","claim","79","red-75","blue-56","risky","safe","743","bandit-task","12","329877","0.0-11.0","21297","low"
"6","safe","claim","51","red-75","blue-56","risky","safe","507","bandit-task","13","334428","0.0-12.0","21297","low"
"7","safe","claim","51","red-75","blue-56","risky","safe","530","bandit-task","14","338437","0.0-13.0","21297","low"
"8","risky","observe","26","red-75","blue-56","risky","safe","1116","bandit-task","15","343004","0.0-14.0","21297","low"
"9","safe","claim","49","red-75","blue-56","risky","safe","1069","bandit-task","16","347812","0.0-15.0","21297","low"
"10","safe","claim","50","red-75","blue-56","risky","safe","914","bandit-task","17","352515","0.0-16.0","21297","low"
"11","risky","claim","12","red-75","blue-56","risky","safe","500","bandit-task","18","357062","0.0-17.0","21297","low"
"12","safe","claim","50","red-75","blue-56","risky","safe","770","bandit-task","19","361372","0.0-18.0","21297","low"
"13","risky","observe","13","red-75","blue-56","risky","safe","1846","bandit-task","20","366773","0.0-19.0","21297","low"
"14","risky","claim","88","red-75","blue-56","risky","safe","638","bandit-task","21","370827","0.0-20.0","21297","low"
"15","risky","claim","33","red-75","blue-56","risky","safe","805","bandit-task","22","375041","0.0-21.0","21297","low"
"16","risky","claim","70","red-75","blue-56","risky","safe","861","bandit-task","23","380258","0.0-22.0","21297","low"
"17","safe","claim","51","red-75","blue-56","risky","safe","452","bandit-task","24","392281","0.0-23.0","21297","low"
"18","safe","observe","51","red-75","blue-56","risky","safe","477","bandit-task","25","396072","0.0-24.0","21297","low"
"19","safe","claim","50","red-75","blue-56","risky","safe","452","bandit-task","26","400244","0.0-25.0","21297","low"
"20","risky","claim","81","red-75","blue-56","risky","safe","616","bandit-task","27","405136","0.0-26.0","21297","low"
"21","safe","claim","47","red-75","blue-56","risky","safe","595","bandit-task","28","410110","0.0-27.0","21297","low"
"22","risky","claim","78","red-75","blue-56","risky","safe","861","bandit-task","29","414230","0.0-28.0","21297","low"
"23","safe","claim","50","red-75","blue-56","risky","safe","855","bandit-task","30","418528","0.0-29.0","21297","low"
