"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","risky","claim","77","red-143","blue-84","risky","safe","7720","bandit-task","16","496832","0.0-6.0","20490","low"
"1","safe","observe","50","red-143","blue-84","risky","safe","4450","bandit-task","17","505245","0.0-7.0","20490","low"
"2","safe","claim","51","red-143","blue-84","risky","safe","1986","bandit-task","18","511375","0.0-8.0","20490","low"
"3","safe","observe","48","red-143","blue-84","risky","safe","748","bandit-task","19","516077","0.0-9.0","20490","low"
"4","risky","observe","76","red-143","blue-84","risky","safe","1912","bandit-task","20","521438","0.0-10.0","20490","low"
"5","safe","claim","50","red-143","blue-84","risky","safe","797","bandit-task","21","526335","0.0-11.0","20490","low"
"6","risky","claim","25","red-143","blue-84","risky","safe","684","bandit-task","22","531213","0.0-12.0","20490","low"
"7","safe","observe","51","red-143","blue-84","risky","safe","621","bandit-task","23","535337","0.0-13.0","20490","low"
"8","risky","observe","12","red-143","blue-84","risky","safe","4413","bandit-task","24","543248","0.0-14.0","20490","low"
"9","risky","claim","33","red-143","blue-84","risky","safe","660","bandit-task","25","548309","0.0-15.0","20490","low"
"10","safe","claim","49","red-143","blue-84","risky","safe","1022","bandit-task","26","553052","0.0-16.0","20490","low"
"11","safe","observe","50","red-143","blue-84","risky","safe","790","bandit-task","27","557227","0.0-17.0","20490","low"
"12","risky","claim","28","red-143","blue-84","risky","safe","1059","bandit-task","28","563047","0.0-18.0","20490","low"
"13","safe","claim","49","red-143","blue-84","risky","safe","1716","bandit-task","29","569810","0.0-19.0","20490","low"
"14","safe","claim","50","red-143","blue-84","risky","safe","3414","bandit-task","30","577635","0.0-20.0","20490","low"
"15","risky","observe","37","red-143","blue-84","risky","safe","768","bandit-task","31","582425","0.0-21.0","20490","low"
"16","risky","claim","29","red-143","blue-84","risky","safe","565","bandit-task","32","587258","0.0-22.0","20490","low"
"17","safe","observe","51","red-143","blue-84","risky","safe","2716","bandit-task","33","594161","0.0-23.0","20490","low"
"18","risky","claim","28","red-143","blue-84","risky","safe","1410","bandit-task","34","603364","0.0-24.0","20490","low"
"19","risky","claim","33","red-143","blue-84","risky","safe","1341","bandit-task","35","609012","0.0-25.0","20490","low"
"20","safe","observe","50","red-143","blue-84","risky","safe","590","bandit-task","36","613842","0.0-26.0","20490","low"
"21","safe","claim","49","red-143","blue-84","risky","safe","529","bandit-task","37","618174","0.0-27.0","20490","low"
"22","risky","observe","65","red-143","blue-84","risky","safe","571","bandit-task","38","622505","0.0-28.0","20490","low"
"23","safe","claim","49","red-143","blue-84","risky","safe","710","bandit-task","39","627095","0.0-29.0","20490","low"
