"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","risky","claim","72","blue-190","red-51","risky","safe","68525","bandit-task","7","864923","0.0-6.0","21520","low"
"1","safe","observe","49","blue-190","red-51","risky","safe","2741","bandit-task","8","889070","0.0-7.0","21520","low"
"2","risky","claim","43","blue-190","red-51","risky","safe","36405","bandit-task","9","930703","0.0-8.0","21520","low"
"3","safe","claim","49","blue-190","red-51","risky","safe","2306","bandit-task","10","937599","0.0-9.0","21520","low"
"4","risky","observe","24","blue-190","red-51","risky","safe","1132","bandit-task","11","942985","0.0-10.0","21520","low"
"5","safe","claim","52","blue-190","red-51","risky","safe","1207","bandit-task","12","948366","0.0-11.0","21520","low"
"6","risky","claim","49","blue-190","red-51","risky","safe","2498","bandit-task","13","955903","0.0-12.0","21520","low"
"7","safe","claim","50","blue-190","red-51","risky","safe","1231","bandit-task","14","962064","0.0-13.0","21520","low"
"8","safe","observe","49","blue-190","red-51","risky","safe","770","bandit-task","15","967456","0.0-14.0","21520","low"
"9","safe","claim","51","blue-190","red-51","risky","safe","996","bandit-task","16","972738","0.0-15.0","21520","low"
"10","risky","claim","41","blue-190","red-51","risky","safe","1059","bandit-task","17","990613","0.0-16.0","21520","low"
"11","safe","claim","51","blue-190","red-51","risky","safe","1019","bandit-task","18","1001225","0.0-17.0","21520","low"
"12","risky","observe","36","blue-190","red-51","risky","safe","1333","bandit-task","19","1007809","0.0-18.0","21520","low"
"13","safe","claim","50","blue-190","red-51","risky","safe","1681","bandit-task","20","1013943","0.0-19.0","21520","low"
"14","risky","claim","28","blue-190","red-51","risky","safe","784","bandit-task","21","1019506","0.0-20.0","21520","low"
"15","safe","claim","50","blue-190","red-51","risky","safe","1028","bandit-task","22","1025008","0.0-21.0","21520","low"
"16","safe","observe","50","blue-190","red-51","risky","safe","662","bandit-task","23","1030190","0.0-22.0","21520","low"
"17","safe","claim","48","blue-190","red-51","risky","safe","692","bandit-task","24","1048395","0.0-23.0","21520","low"
"18","risky","claim","30","blue-190","red-51","risky","safe","1075","bandit-task","25","1053578","0.0-24.0","21520","low"
"19","safe","claim","48","blue-190","red-51","risky","safe","686","bandit-task","26","1062482","0.0-25.0","21520","low"
"20","risky","observe","33","blue-190","red-51","risky","safe","999","bandit-task","27","1068268","0.0-26.0","21520","low"
"21","risky","claim","34","blue-190","red-51","risky","safe","655","bandit-task","28","1073591","0.0-27.0","21520","low"
"22","risky","observe","65","blue-190","red-51","risky","safe","710","bandit-task","29","1079540","0.0-28.0","21520","low"
"23","risky","claim","80","blue-190","red-51","risky","safe","1252","bandit-task","30","1085301","0.0-29.0","21520","low"
"24","safe","claim","52","blue-190","red-51","risky","safe","727","bandit-task","31","1091220","0.0-30.0","21520","low"
"25","risky","claim","18","blue-190","red-51","risky","safe","805","bandit-task","32","1096858","0.0-31.0","21520","low"
