"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","safe","claim","51","red-15","blue-142","safe","risky","12748","bandit-task","7","249464","0.0-6.0","20562","high"
"1","risky","claim","59","red-4","blue-125","safe","risky","1417","bandit-task","8","257281","0.0-7.0","20562","high"
"2","safe","claim","51","red-91","blue-41","safe","risky","1156","bandit-task","9","261946","0.0-8.0","20562","high"
"3","safe","observe","50","red-103","blue-124","safe","risky","942","bandit-task","10","266819","0.0-9.0","20562","high"
"4","risky","observe","61","red-2","blue-162","safe","risky","530","bandit-task","11","270560","0.0-10.0","20562","high"
"5","safe","claim","52","red-130","blue-58","safe","risky","611","bandit-task","12","274565","0.0-11.0","20562","high"
"6","risky","claim","28","red-118","blue-84","safe","risky","524","bandit-task","13","278374","0.0-12.0","20562","high"
"7","safe","observe","49","red-133","blue-24","safe","risky","602","bandit-task","14","282433","0.0-13.0","20562","high"
"8","risky","observe","73","red-144","blue-67","safe","risky","652","bandit-task","15","286729","0.0-14.0","20562","high"
"9","safe","claim","51","red-28","blue-38","safe","risky","545","bandit-task","16","290969","0.0-15.0","20562","high"
"10","risky","claim","39","red-97","blue-185","safe","risky","443","bandit-task","17","295002","0.0-16.0","20562","high"
"11","safe","claim","50","red-182","blue-136","safe","risky","691","bandit-task","18","299389","0.0-17.0","20562","high"
"12","safe","claim","50","red-135","blue-197","safe","risky","539","bandit-task","19","303221","0.0-18.0","20562","high"
"13","risky","claim","21","red-98","blue-72","safe","risky","1976","bandit-task","20","308959","0.0-19.0","20562","high"
"14","risky","claim","21","red-59","blue-200","safe","risky","1910","bandit-task","21","314551","0.0-20.0","20562","high"
"15","risky","claim","75","red-101","blue-169","safe","risky","2970","bandit-task","22","321325","0.0-21.0","20562","high"
"16","safe","claim","48","red-113","blue-55","safe","risky","2787","bandit-task","23","327707","0.0-22.0","20562","high"
"17","risky","claim","32","red-201","blue-119","safe","risky","1488","bandit-task","24","334974","0.0-23.0","20562","high"
"18","safe","claim","49","red-117","blue-155","safe","risky","2799","bandit-task","25","341423","0.0-24.0","20562","high"
"19","safe","observe","49","red-121","blue-166","safe","risky","1552","bandit-task","26","349124","0.0-25.0","20562","high"
"20","risky","claim","65","red-20","blue-51","safe","risky","2133","bandit-task","27","355199","0.0-26.0","20562","high"
"21","risky","observe","65","red-131","blue-203","safe","risky","1494","bandit-task","28","360469","0.0-27.0","20562","high"
"22","risky","claim","31","red-69","blue-193","safe","risky","682","bandit-task","29","364703","0.0-28.0","20562","high"
"23","risky","claim","60","red-56","blue-31","safe","risky","1637","bandit-task","30","377440","0.0-29.0","20562","high"
"24","risky","claim","64","red-81","blue-8","safe","risky","683","bandit-task","31","381490","0.0-30.0","20562","high"
"25","risky","observe","57","red-3","blue-96","safe","risky","2832","bandit-task","32","388069","0.0-31.0","20562","high"
"26","safe","claim","50","red-161","blue-62","safe","risky","980","bandit-task","33","393319","0.0-32.0","20562","high"
"27","safe","claim","50","red-85","blue-80","safe","risky","916","bandit-task","34","397590","0.0-33.0","20562","high"
"28","risky","claim","38","red-64","blue-23","safe","risky","2322","bandit-task","35","403955","0.0-34.0","20562","high"
"29","safe","claim","52","red-30","blue-186","safe","risky","2740","bandit-task","36","409896","0.0-35.0","20562","high"
"30","safe","claim","49","red-6","blue-111","safe","risky","962","bandit-task","37","414811","0.0-36.0","20562","high"
"31","safe","claim","49","red-47","blue-112","safe","risky","1624","bandit-task","38","420465","0.0-37.0","20562","high"
"32","risky","observe","77","red-160","blue-50","safe","risky","2761","bandit-task","39","427361","0.0-38.0","20562","high"
"33","safe","claim","51","red-139","blue-75","safe","risky","1990","bandit-task","40","432648","0.0-39.0","20562","high"
"34","safe","claim","49","red-171","blue-120","safe","risky","1618","bandit-task","41","437738","0.0-40.0","20562","high"
"35","risky","claim","71","red-99","blue-150","safe","risky","1397","bandit-task","42","443518","0.0-41.0","20562","high"
"36","safe","claim","50","red-40","blue-45","safe","risky","663","bandit-task","43","447486","0.0-42.0","20562","high"
"37","risky","observe","68","red-129","blue-141","safe","risky","1419","bandit-task","44","452232","0.0-43.0","20562","high"
"38","safe","claim","50","red-170","blue-110","safe","risky","767","bandit-task","45","456150","0.0-44.0","20562","high"
