"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","safe","observe","50","blue-110","red-43","safe","risky","3500","bandit-task","10","500964","0.0-6.0","20831","high"
"1","safe","claim","51","blue-62","red-14","safe","risky","1534","bandit-task","11","507815","0.0-7.0","20831","high"
"2","risky","claim","29","blue-21","red-32","safe","risky","1127","bandit-task","12","514893","0.0-8.0","20831","high"
"3","risky","claim","22","blue-164","red-157","safe","risky","1584","bandit-task","13","521920","0.0-9.0","20831","high"
"4","risky","claim","46","blue-134","red-167","safe","risky","1584","bandit-task","14","527628","0.0-10.0","20831","high"
"5","risky","claim","31","blue-76","red-121","safe","risky","1780","bandit-task","15","533458","0.0-11.0","20831","high"
"6","safe","claim","50","blue-16","red-179","safe","risky","846","bandit-task","16","538824","0.0-12.0","20831","high"
"7","risky","claim","64","blue-137","red-196","safe","risky","766","bandit-task","17","543078","0.0-13.0","20831","high"
"8","safe","claim","50","blue-194","red-42","safe","risky","797","bandit-task","18","548308","0.0-14.0","20831","high"
"9","risky","claim","81","blue-160","red-175","safe","risky","658","bandit-task","19","553181","0.0-15.0","20831","high"
"10","safe","claim","49","blue-139","red-150","safe","risky","1293","bandit-task","20","559768","0.0-16.0","20831","high"
"11","risky","claim","67","blue-158","red-161","safe","risky","664","bandit-task","21","565126","0.0-17.0","20831","high"
"12","risky","claim","69","blue-173","red-195","safe","risky","1294","bandit-task","22","571261","0.0-18.0","20831","high"
"13","risky","claim","37","blue-11","red-180","safe","risky","1234","bandit-task","23","576051","0.0-19.0","20831","high"
"14","safe","claim","50","blue-22","red-166","safe","risky","1250","bandit-task","24","582415","0.0-20.0","20831","high"
"15","safe","claim","51","blue-51","red-86","safe","risky","1120","bandit-task","25","588167","0.0-21.0","20831","high"
"16","risky","claim","35","blue-27","red-64","safe","risky","725","bandit-task","26","592860","0.0-22.0","20831","high"
"17","risky","claim","20","blue-97","red-71","safe","risky","895","bandit-task","27","597564","0.0-23.0","20831","high"
"18","safe","claim","50","blue-119","red-41","safe","risky","777","bandit-task","28","602195","0.0-24.0","20831","high"
"19","risky","claim","29","blue-189","red-176","safe","risky","702","bandit-task","29","606857","0.0-25.0","20831","high"
"20","risky","claim","44","blue-203","red-111","safe","risky","1150","bandit-task","30","612337","0.0-26.0","20831","high"
"21","safe","claim","48","blue-107","red-94","safe","risky","733","bandit-task","31","617225","0.0-27.0","20831","high"
"22","risky","claim","35","blue-168","red-23","safe","risky","1042","bandit-task","32","622082","0.0-28.0","20831","high"
"23","risky","claim","26","blue-30","red-78","safe","risky","1178","bandit-task","33","628182","0.0-29.0","20831","high"
"24","safe","claim","50","blue-142","red-201","safe","risky","1957","bandit-task","34","633589","0.0-30.0","20831","high"
"25","safe","claim","50","blue-93","red-12","safe","risky","1182","bandit-task","35","639481","0.0-31.0","20831","high"
"26","risky","claim","34","blue-145","red-54","safe","risky","774","bandit-task","36","644158","0.0-32.0","20831","high"
"27","risky","claim","25","blue-28","red-35","safe","risky","1216","bandit-task","37","653756","0.0-33.0","20831","high"
"28","safe","claim","50","blue-37","red-1","safe","risky","742","bandit-task","38","658233","0.0-34.0","20831","high"
"29","risky","claim","45","blue-144","red-89","safe","risky","638","bandit-task","39","663302","0.0-35.0","20831","high"
"30","safe","claim","51","blue-171","red-190","safe","risky","660","bandit-task","40","667590","0.0-36.0","20831","high"
"31","risky","claim","72","blue-29","red-45","safe","risky","1532","bandit-task","41","674595","0.0-37.0","20831","high"
"32","risky","claim","34","blue-193","red-125","safe","risky","1263","bandit-task","42","680256","0.0-38.0","20831","high"
"33","safe","claim","50","blue-138","red-149","safe","risky","616","bandit-task","43","685165","0.0-39.0","20831","high"
"34","risky","claim","63","blue-96","red-46","safe","risky","647","bandit-task","44","690015","0.0-40.0","20831","high"
"35","safe","claim","51","blue-7","red-162","safe","risky","672","bandit-task","45","696139","0.0-41.0","20831","high"
