"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","risky","observe","73","blue-3","red-74","risky","safe","4130","bandit-task","7","199917","0.0-6.0","20291","low"
"1","safe","observe","50","blue-3","red-74","risky","safe","1238","bandit-task","8","206096","0.0-7.0","20291","low"
"2","risky","observe","74","blue-3","red-74","risky","safe","2476","bandit-task","9","212905","0.0-8.0","20291","low"
"3","safe","observe","50","blue-3","red-74","risky","safe","755","bandit-task","10","218232","0.0-9.0","20291","low"
"4","risky","claim","87","blue-3","red-74","risky","safe","1042","bandit-task","11","223607","0.0-10.0","20291","low"
"5","risky","claim","25","blue-3","red-74","risky","safe","508","bandit-task","12","228447","0.0-11.0","20291","low"
"6","risky","claim","23","blue-3","red-74","risky","safe","3382","bandit-task","13","236191","0.0-12.0","20291","low"
"7","risky","claim","80","blue-3","red-74","risky","safe","462","bandit-task","14","241093","0.0-13.0","20291","low"
"8","risky","claim","62","blue-3","red-74","risky","safe","648","bandit-task","15","245407","0.0-14.0","20291","low"
"9","risky","claim","62","blue-3","red-74","risky","safe","594","bandit-task","16","249899","0.0-15.0","20291","low"
"10","risky","claim","76","blue-3","red-74","risky","safe","632","bandit-task","17","254545","0.0-16.0","20291","low"
"11","risky","claim","29","blue-3","red-74","risky","safe","400","bandit-task","18","260020","0.0-17.0","20291","low"
"12","risky","claim","37","blue-3","red-74","risky","safe","804","bandit-task","19","264661","0.0-18.0","20291","low"
"13","risky","claim","65","blue-3","red-74","risky","safe","795","bandit-task","20","269587","0.0-19.0","20291","low"
"14","risky","claim","12","blue-3","red-74","risky","safe","594","bandit-task","21","274715","0.0-20.0","20291","low"
"15","risky","claim","43","blue-3","red-74","risky","safe","956","bandit-task","22","279299","0.0-21.0","20291","low"
"16","risky","claim","40","blue-3","red-74","risky","safe","510","bandit-task","23","284047","0.0-22.0","20291","low"
"17","risky","claim","37","blue-3","red-74","risky","safe","603","bandit-task","24","289096","0.0-23.0","20291","low"
"18","risky","claim","82","blue-3","red-74","risky","safe","788","bandit-task","25","293816","0.0-24.0","20291","low"
"19","risky","claim","65","blue-3","red-74","risky","safe","911","bandit-task","26","300033","0.0-25.0","20291","low"
"20","risky","claim","68","blue-3","red-74","risky","safe","524","bandit-task","27","304689","0.0-26.0","20291","low"
"21","risky","claim","51","blue-3","red-74","risky","safe","874","bandit-task","28","309157","0.0-27.0","20291","low"
"22","risky","claim","68","blue-3","red-74","risky","safe","764","bandit-task","29","314075","0.0-28.0","20291","low"
"23","risky","claim","36","blue-3","red-74","risky","safe","819","bandit-task","30","319149","0.0-29.0","20291","low"
"24","risky","claim","25","blue-3","red-74","risky","safe","577","bandit-task","31","324377","0.0-30.0","20291","low"
"25","risky","claim","25","blue-3","red-74","risky","safe","539","bandit-task","32","328767","0.0-31.0","20291","low"
"26","risky","claim","34","blue-3","red-74","risky","safe","648","bandit-task","33","333273","0.0-32.0","20291","low"
"27","risky","claim","48","blue-3","red-74","risky","safe","485","bandit-task","34","338763","0.0-33.0","20291","low"
"28","risky","claim","60","blue-3","red-74","risky","safe","423","bandit-task","35","342900","0.0-34.0","20291","low"
"29","risky","claim","41","blue-3","red-74","risky","safe","489","bandit-task","36","347676","0.0-35.0","20291","low"
"30","risky","observe","65","blue-3","red-74","risky","safe","1810","bandit-task","37","353276","0.0-36.0","20291","low"
"31","safe","observe","49","blue-3","red-74","risky","safe","849","bandit-task","38","357691","0.0-37.0","20291","low"
"32","risky","claim","27","blue-3","red-74","risky","safe","1833","bandit-task","39","363337","0.0-38.0","20291","low"
"33","risky","claim","53","blue-3","red-74","risky","safe","578","bandit-task","40","367835","0.0-39.0","20291","low"
"34","risky","claim","62","blue-3","red-74","risky","safe","671","bandit-task","41","371817","0.0-40.0","20291","low"
"35","risky","claim","81","blue-3","red-74","risky","safe","508","bandit-task","42","376369","0.0-41.0","20291","low"
"36","risky","claim","65","blue-3","red-74","risky","safe","4814","bandit-task","43","385423","0.0-42.0","20291","low"
